"DATE","RES ELE FEET","","STORAGE AF","","RES CHG AF","","TOC STO AF","","ABV TOC AF","","OUTFLOW CFS","","INFLOW CFS","","EVAP CFS","","RIV REL CFS","","PPT INC INCHES","","SPILL CFS","","DC PUMP CFS","","DIS PWR CFS",""
"12/04/1997","407.12","","428,716","","--","","--","","--","","2,361","","1,375","","0","","--","","0.00","","--","","67","","--",""
"12/05/1997","406.85","","426,773","","--","","--","","--","","2,357","","1,382","","5","","--","","0.21","","--","","50","","--",""
"12/06/1997","406.54","","424,553","","--","","--","","--","","2,440","","1,342","","22","","--","","0.12","","--","","51","","--",""
"12/07/1997","407.27","","429,802","","--","","--","","--","","1,913","","4,577","","17","","--","","0.73","","--","","53","","--",""
"12/08/1997","408.24","","436,846","","--","","--","","--","","2,240","","5,804","","12","","--","","0.97","","--","","53","","--",""
"12/09/1997","408.56","","439,189","","--","","--","","--","","2,234","","3,420","","5","","--","","0.00","","--","","53","","--",""
"12/10/1997","408.63","","439,702","","--","","--","","--","","2,489","","2,772","","25","","--","","0.00","","--","","63","","--",""
"12/11/1997","408.50","","438,750","","--","","--","","--","","2,514","","2,039","","5","","--","","0.00","","--","","58","","--",""
"12/12/1997","408.36","","437,725","","--","","--","","--","","2,480","","1,973","","10","","--","","0.00","","--","","51","","--",""
"12/13/1997","408.14","","436,114","","--","","--","","--","","2,389","","1,579","","2","","--","","0.00","","--","","55","","--",""
"12/14/1997","408.16","","436,261","","--","","--","","--","","2,110","","2,201","","17","","--","","0.36","","--","","68","","--",""
"12/15/1997","408.06","","435,528","","--","","--","","--","","2,395","","2,026","","0","","--","","0.63","","--","","69","","--",""
"12/16/1997","407.98","","434,944","","--","","--","","--","","2,248","","1,966","","12","","--","","0.00","","--","","51","","--",""
"12/17/1997","407.91","","434,437","","--","","--","","--","","2,393","","2,145","","7","","--","","0.00","","--","","58","","--",""
"12/18/1997","407.95","","434,727","","--","","--","","--","","2,370","","2,519","","2","","--","","0.00","","--","","56","","--",""
"12/19/1997","--","","434,365","","--","","--","","--","","--","","--","","5","","--","","--","","--","","60","","--",""
"12/20/1997","407.86","","434,075","","--","","--","","--","","2,392","","2,258","","12","","--","","0.00","","--","","61","","--",""
"12/21/1997","407.77","","433,423","","--","","--","","--","","2,605","","2,279","","2","","--","","0.00","","--","","57","","--",""
"12/22/1997","407.73","","433,134","","--","","--","","--","","2,395","","2,283","","34","","--","","0.00","","--","","66","","--",""
"12/23/1997","407.85","","434,003","","--","","--","","--","","2,080","","2,525","","7","","--","","0.00","","--","","66","","--",""
"12/24/1997","407.71","","432,989","","--","","--","","--","","2,560","","2,063","","15","","--","","0.00","","--","","66","","--",""
"12/25/1997","407.51","","431,540","","--","","--","","--","","2,554","","1,851","","27","","--","","0.00","","--","","51","","--",""
"12/26/1997","407.30","","430,020","","--","","--","","--","","2,418","","1,668","","17","","--","","0.00","","--","","58","","--",""
"12/27/1997","407.33","","430,237","","--","","--","","--","","2,285","","2,399","","5","","--","","0.00","","--","","66","","--",""
"12/28/1997","407.07","","428,354","","-1,883","","--","","--","","2,427","","1,495","","17","","--","","0.00","","--","","66","","--",""
"12/29/1997","406.64","","425,269","","--","","--","","--","","2,414","","866","","7","","--","","0.00","","--","","66","","--",""
"12/30/1997","406.30","","422,834","","--","","--","","--","","2,524","","1,306","","10","","--","","0.00","","--","","66","","--",""
"12/31/1997","406.07","","421,186","","--","","--","","--","","2,314","","1,493","","10","","--","","0.00","","--","","62","","--",""
"01/01/1998","405.75","","418,915","","--","","--","","--","","2,294","","1,159","","10","","--","","0.00","","--","","39","","--",""
"01/02/1998","405.51","","417,216","","--","","--","","--","","2,355","","1,501","","2","","--","","0.28","","--","","67","","--",""
"01/03/1998","405.42","","416,579","","--","","--","","--","","2,396","","2,075","","0","","--","","0.26","","--","","60","","--",""
"01/04/1998","405.76","","418,986","","--","","--","","--","","2,363","","3,586","","10","","--","","0.93","","--","","51","","--",""
"01/05/1998","405.93","","420,189","","--","","--","","--","","2,336","","2,945","","2","","--","","0.00","","--","","59","","--",""
"01/06/1998","406.31","","422,905","","--","","--","","--","","1,413","","2,816","","34","","--","","0.00","","--","","65","","--",""
"01/07/1998","406.44","","423,836","","--","","--","","--","","2,168","","2,671","","34","","--","","0.07","","--","","64","","--",""
"01/08/1998","406.49","","424,194","","--","","--","","--","","2,195","","2,397","","22","","--","","0.00","","--","","52","","--",""
"01/09/1998","406.52","","424,409","","--","","--","","--","","2,247","","2,355","","0","","--","","0.05","","--","","58","","--",""
"01/10/1998","406.64","","425,269","","--","","--","","--","","2,042","","2,490","","14","","--","","0.34","","--","","66","","--",""
"01/11/1998","408.10","","435,821","","--","","--","","--","","2,158","","7,478","","0","","--","","0.36","","--","","60","","--",""
"01/12/1998","412.76","","470,652","","--","","--","","--","","4,478","","22,038","","0","","--","","1.19","","--","","52","","--",""
"01/13/1998","414.33","","482,755","","--","","--","","--","","8,946","","15,048","","0","","--","","0.98","","--","","55","","--",""
"01/14/1998","414.13","","481,199","","--","","--","","--","","8,419","","7,664","","29","","--","","0.03","","--","","67","","--",""
"01/15/1998","418.09","","512,482","","--","","--","","--","","6,598","","22,383","","14","","--","","1.06","","--","","62","","--",""
"01/16/1998","421.57","","540,951","","--","","--","","--","","7,135","","21,502","","14","","--","","0.70","","--","","58","","--",""
"01/17/1998","424.00","","561,360","","--","","--","","--","","10,801","","21,185","","94","","--","","0.13","","--","","66","","--",""
"01/18/1998","424.11","","562,298","","--","","--","","--","","15,479","","16,003","","51","","--","","0.00","","--","","59","","--",""
"01/19/1998","424.57","","566,224","","--","","--","","--","","14,161","","16,214","","74","","--","","0.97","","--","","61","","--",""
"01/20/1998","424.16","","562,725","","--","","--","","--","","11,498","","9,805","","71","","--","","0.12","","--","","59","","--",""
"01/21/1998","423.51","","557,216","","--","","--","","--","","9,251","","6,497","","23","","--","","0.00","","--","","58","","--",""
"01/22/1998","422.91","","552,149","","--","","--","","--","","7,925","","5,390","","20","","--","","0.00","","--","","48","","--",""
"01/23/1998","422.48","","548,545","","--","","--","","--","","6,977","","5,180","","20","","--","","0.00","","--","","54","","--",""
"01/24/1998","422.12","","545,528","","--","","--","","--","","5,955","","4,451","","17","","--","","0.02","","--","","63","","--",""
"01/25/1998","421.93","","543,941","","--","","--","","--","","5,244","","4,458","","14","","--","","0.00","","--","","63","","--",""
"01/26/1998","421.73","","542,280","","--","","--","","--","","4,673","","3,852","","17","","--","","0.00","","--","","64","","--",""
"01/27/1998","421.52","","540,536","","--","","--","","--","","4,354","","3,480","","6","","--","","0.10","","--","","69","","--",""
"01/28/1998","421.20","","537,878","","-2,657","","--","","--","","4,413","","3,087","","14","","--","","0.00","","--","","78","","--",""
"01/29/1998","421.52","","540,536","","2,657","","--","","--","","4,386","","5,745","","20","","--","","0.83","","--","","61","","--",""
"01/30/1998","421.74","","542,363","","--","","--","","--","","4,241","","5,162","","0","","--","","0.12","","--","","52","","--",""
